Component	Tags	GOV.UK	NHS UK	ONS UK	18F	Bits UI	shadcn	Ark	Flowbite	SkeletonUI	IBM Carbon  SVAR Svelte	?
Hint text	#input	?	✅	?	?	-	-	-	?	?	?	?
Hover Card	#card	?	-	?	?	-	✅	✅	?	?	?	?
Icon        ?	?	?	?	?	?	?	?	?	?   ✅
Image	#graphics	?	✅	?	?	-	-	-	?	?	?	?
Image Input #input	?	?	?	?	?	?	?	?	?	?
Input	#input	?	-	?	?	-	✅	-	?	?	?	?
Inset text	#layout	?	✅	?	?	-	-	-	?	?	?	?
Kanban Board    #complex    ?	?	?	?	?	?	?	?	?	⏳
Label	#input	?	-	?	?	✅	✅	-	?	?	?	?
Listbox		?	-	?	?	-	-	✅	?	?	?	?
Menu	#menu	?	-	?	?	-	-	✅	?	?	?	✅
Menubar	#menu	?	-	?	?	✅	✅	-	?	?	?	?
Meter	#input	?	-	?	?	✅	-	-	?	?	?	?
Month Input #input	?	?	?	?	?	?	?	?	?	?
Navigation Menu	#nav #menu	?	-	?	?	✅	✅	-	?	?	?	?
Number Input	#input	?	-	?	?			✅	?	?	?	?
OTP Input	#input #pin #otp	?	-	?	?	≍	✅	-	?	?	?
Pagination	#nav	?	✅	?	?	✅	✅	✅	?	?	?	✅
Panel	#layout	?	✅	?	?	-	-	-	?	?	?	?
Password Input	#input	?	-	?	?	-	-	✅	?	?	?	?
Phone Input #input	?	?	?	?	?	?	?	?	?	?
PIN Input	#input #pin #otp	?	-	?	?	≍	✅	-	?	?	?
Popover	#help	?	-	?	?	✅	✅	✅	?	?	?	?
Progress	#ux	?	-	?	?	✅	✅	-	?	?	?	?
Progress - Circular	#ux	?	-	?	?	-	-	✅	?	?	?	?
Progress - Linear	#ux	?	-	?	?	-	-	✅	?	?	?	?
QR Code	#input	?	-	?	?	-	-	✅	?	?	?	?
Radio Input	#input	?	✅	?	?	-	-	-	?	?	?	✅
Radio Group	#input	?	-	?	?	✅	✅	✅	?	?	?	?
Range Calendar	#input #date	?	-	?	?	✅	-	-	?	?	?	?
Range Input	?	?	?	?	?	?	?	?	?	?
Rating Group	#input	?	-	?	?	✅	-	✅	?	?	?	?
Reset Input #input	?	?	?	?	?	?	?	?	?	?
Resizable	#responsive	?	-	?	?	-	✅	-	?	?	?	?
Review date	#time	?	✅	?	?	-	-	-	?	?	?	?
Scroll Area	#responsive	?	-	?	?	✅	✅	-	?	?	?	?
Search Input    #input	?	?	?	?	?	?	?	?	?	?
Segment Group		?		?	?	-	-	✅	?	?	?	?
Select	#input	?	✅	?	?	✅	✅	✅	?	?	?	?
Select With Extras	#input	?	?	?	?	?	?	?	?	?	✅
Separator	#layout	?	-	?	?	✅	✅	-	?	?	?	?
Sheet		?	-	?	?	-	✅	-	?	?	?	?
Sidebar		?	-	?	?	-	✅	-	?	?	?	?
Signature Pad	#input	?	-	?	?	-	-	✅	?	?	?	?
Skeleton		?	-	?	?	-	✅	-	?	?	?	?
Skip link	#nav #link	?	✅	?	?	-	-	-	?	?	?	?
Slider	#input	?	-	?	?	✅	✅	✅	?	?	?	✅
Sonner	?	?	-	?	?	-	✅	-	?	?	?	?
Splitter		?	-	?	?	-	-	✅	?	?	?	?
Steps		?	-	?	?	-	-	✅	?	?	?	?
Submit Input    #input	?	?	?	?	?	?	?	?	?	?
Summary list	#list	?	✅	?	?	-	-	-	?	?	?	?
Switch Input	#input	?	-	?	?	✅	✅	✅	?	?	?	✅
Table	#table	?	✅	?	?	-	✅	-	?	?	?	?
Tab	#nav	?	✅	?	?	✅	✅	✅	?	?	?	?
Tab Group	#nav #group	?	✅	?	?	✅	✅	✅	?	?	?	✅
Tag	#display	?	✅	?	?	-	-	-	?	?	?	?
Tag Input	#input	?	-	?	?	-	-	✅	?	?	?	?
Tag Group	#group	?	?	?	?	?	?	?	?	?	?	?
Task List aka Todo List	#list	?	✅	?	?	-	-	-	?	?	?	✅
Task List Pro   #list	?	?	?	?	?	?	?	?	?	⏳
Text Input  #input	?	?	?	?	?	?	?	?	?	✅
Textarea Input	#input	?	✅	?	?	-	✅	-	?	?	?	?
Textfield Input	#input	?	✅	?	?	-	-	-	?	?	?	?
Time Input  #input	?	?	?	?	?	?	?	?	?	?
Time Picker  #input	?	?	?	?	?	?	?	?	?	✅
Timer		?	-	?	?	-	-	✅	?	?	?	?
Toast	#help	?	-	?	?	-	✅	✅	?	?	?	?
Toggle	#input	?	-	?	?	✅	✅	-	?	?	?	?
Toggle Group	#input	?	-	?	?	✅	✅	✅	?	?	?	?
Toolbar   #group	?	?	?	?	?	?	?	?	?	✅
Tooltip	#help	?	-	?	?	✅	✅	✅	?	?	?	?
Tour		?	-	?	?	-	-	✅	?	?	?	?
Tree View		?	-	?	?	-	-	✅	?	?	?	?
URL Input   #input	?	?	?	?	?	?	?	?	?	?
Warning callout	#content	?	✅	?	?	-	-	-	?	?	?	?
Week Input  #input	?	?	?	?	?	?	?	?	?	?
